資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
"1131219","3218","大學光","15.91","7.00000000","3.46","5.07"
"1131219","3219","倚強科","155.71","0.36466706","0.84","2.35"
"1131219","3221","台嘉碩","53.23","0.70027410","2.74","1.24"
"1131219","3224","三顧","N/A","0","0.00","3.04"
"1131219","3226","至寶電","9.12","0.50000000","1.09","1.63"
"1131219","3227","原相","23.44","4.51535132","1.87","3.24"
"1131219","3228","金麗科","N/A","0","0.00","24.12"
"1131219","3230","錦明","17.31","0","0.00","4.27"
"1131219","3232","昱捷","152.67","0.50000000","2.18","1.53"
"1131219","3234","光環","N/A","0","0.00","5.13"
"1131219","3236","千如","N/A","0.22000000","1.07","1.38"
"1131219","3252","海灣","N/A","0","0.00","0.51"
"1131219","3259","鑫創","N/A","0","0.00","4.41"
"1131219","3260","威剛","7.61","3.00000000","3.75","1.48"
"1131219","3264","欣銓","11.95","3.30000000","5.99","1.46"
"1131219","3265","台星科","20.26","4.80000000","4.12","2.63"
"1131219","3268","海德威","N/A","0","0.00","1.51"
"1131219","3272","東碩","N/A","0","0.00","1.14"
"1131219","3276","宇環","127.92","0.20000000","1.30","1.33"
"1131219","3284","太普高","10.92","0.60000000","2.01","2.18"
"1131219","3285","微端","32.65","1.00000000","3.69","1.95"
"1131219","3287","廣寰科","15.91","0.84392900","2.54","2.49"
"1131219","3288","點晶","N/A","0","0.00","3.85"
"1131219","3289","宜特","23.76","3.72716138","2.67","3.02"
"1131219","3290","東浦","18.93","0.99525139","3.21","1.70"
"1131219","3293","鈊象","34.93","45.00000000","4.50","20.55"
"1131219","3294","英濟","59.02","0","0.00","1.56"
"1131219","3297","杭特","N/A","0","0.00","1.30"
"1131219","3303","岱稜","13.64","1.75000000","3.46","2.26"
"1131219","3306","鼎天","18.48","1.30000000","2.50","0.83"
"1131219","3310","佳穎","30.53","4.29970743","4.65","3.53"
"1131219","3313","斐成","11.18","0","0.00","1.56"
"1131219","3317","尼克森","20.75","1.80013374","3.84","1.27"
"1131219","3322","建舜電","N/A","0.22554785","1.33","1.23"
"1131219","3323","加百裕","N/A","0","0.00","1.29"
"1131219","3324","雙鴻","36.90","6.34797488","0.95","7.08"
"1131219","3325","旭品","N/A","0","0.00","1.76"
"1131219","3332","幸康","18.87","1.60000000","4.00","1.12"
"1131219","3339","泰谷","173.18","0","0.00","2.72"
"1131219","3349","寶德","N/A","0","0.00","2.45"
"1131219","3354","律勝","N/A","0.20000000","0.93","1.76"
"1131219","3357","臺慶科","19.04","4.50000000","3.86","1.66"
"1131219","3360","尚立","N/A","0","0.00","1.31"
"1131219","3362","先進光","84.56","1.00000000","0.46","8.08"
"1131219","3363","上詮","N/A","0.50000000","0.21","9.42"
"1131219","3372","典範","N/A","0","0.00","1.49"
"1131219","3373","熱映","N/A","1.00000000","5.08","0.98"
"1131219","3374","精材","34.35","2.00000000","0.96","6.56"
"1131219","3379","彬台","30.45","0.20000000","0.60","2.15"
"1131219","3388","崇越電","17.53","3.10000000","4.47","1.15"
"1131219","3390","旭軟","28.39","0.70000000","2.65","1.48"
"1131219","3402","漢科","15.59","4.50000000","4.43","3.82"
"1131219","3426","台興","15.50","2.00000000","4.16","1.75"
"1131219","3430","奇鈦科","14.83","2.00000000","3.36","1.86"
"1131219","3434","哲固","24.74","0.50000000","1.76","2.38"
"1131219","3438","類比科","48.03","0.50000000","0.79","1.61"
"1131219","3441","聯一光","53.81","0.50000000","1.39","1.87"
"1131219","3444","利機","47.68","2.50000000","3.20","3.36"
"1131219","3455","由田","24.90","5.00000000","4.18","2.89"
"1131219","3465","進泰電子","N/A","3.00000000","5.69","2.29"
"1131219","3466","德晉","N/A","0","0.00","4.97"
"1131219","3479","安勤","13.83","5.98868238","6.83","2.00"
"1131219","3483","力致","23.74","5.04975935","3.36","2.74"
"1131219","3484","崧騰","14.59","1.19989460","2.17","1.43"
"1131219","3489","森寶","N/A","0.40000000","1.55","1.76"
"1131219","3490","單井","11.43","1.20000000","4.07","1.21"
"1131219","3491","昇達科","47.85","3.35101141","1.04","7.90"
"1131219","3492","長盛","22.19","0.33000000","1.30","1.46"
"1131219","3498","陽程","N/A","0","0.00","1.47"
"1131219","3499","環天科","N/A","0","0.00","2.14"
"1131219","3508","位速","N/A","0","0.00","3.96"
"1131219","3511","矽瑪","N/A","0","0.00","2.08"
"1131219","3512","皇龍","9.45","3.20569069","10.70","1.41"
"1131219","3516","亞帝歐","100.42","0.20000000","0.83","0.94"
"1131219","3520","華盈","241.88","0.10000000","0.52","1.66"
"1131219","3521","鴻翊","N/A","0","0.00","2.40"
"1131219","3522","御嵿","N/A","0","0.00","2.89"
"1131219","3523","迎輝","N/A","0","0.00","2.78"
"1131219","3526","凡甲","17.62","11.39277243","4.31","5.11"
"1131219","3527","聚積","1143.33","2.00000000","2.92","1.26"
"1131219","3529","力旺","148.18","17.49899000","0.51","83.89"
"1131219","3531","先益","41.90","1.70000000","6.44","0.88"
"1131219","3537","堡達","19.39","2.50000000","4.60","2.52"
"1131219","3540","曜越","N/A","0.89626600","2.55","1.43"
"1131219","3541","西柏","N/A","0","0.00","2.28"
"1131219","3546","宇峻","18.20","4.50000014","5.84","2.71"
"1131219","3548","兆利","20.41","4.50000000","2.50","2.09"
"1131219","3551","世禾","19.11","2.80000000","2.36","1.80"
"1131219","3552","同致","38.00","3.00000000","3.29","1.93"
"1131219","3555","博士旺","N/A","0","0.00","3.63"
"1131219","3556","禾瑞亞","91.28","0.90000000","2.10","2.40"
"1131219","3558","神準","44.03","4.00000000","1.84","2.30"
"1131219","3564","其陽","73.37","0.35000000","0.49","3.07"
"1131219","3567","逸昌","14.67","2.70000000","8.81","1.77"
"1131219","3570","大塚","14.19","8.00000000","4.64","3.13"
"1131219","3577","泓格","37.19","1.00000000","1.68","2.91"
"1131219","3580","友威科","17.07","2.02000000","2.46","3.17"
"1131219","3581","博磊","1676.67","0.50000000","0.99","3.08"
"1131219","3587","閎康","23.76","8.92658585","3.58","3.48"
"1131219","3594","磐儀","72.82","0.60000000","1.16","2.23"
"1131219","3597","映興","87.96","0.30000000","0.70","2.89"
"1131219","3609","三一東林","N/A","0","0.00","5.97"
"1131219","3611","鼎翰","13.69","12.99793213","6.43","1.87"
"1131219","3615","安可","79.86","0.70000000","2.50","0.85"
"1131219","3623","富晶通","N/A","0","0.00","1.85"
"1131219","3624","光頡","23.17","1.20000000","2.83","1.49"
"1131219","3625","西勝","N/A","0","0.00","3.10"
"1131219","3628","盈正","28.38","2.00000000","4.30","1.26"
"1131219","3629","地心引力","N/A","0","0.00","8.94"
"1131219","3630","新鉅科","N/A","0","0.00","2.11"
"1131219","3631","晟楠","N/A","0","0.00","2.23"
"1131219","3632","研勤","N/A","0","0.00","3.61"
"1131219","3646","艾恩特","17.48","1.50000000","5.26","2.05"
"1131219","3663","鑫科","258.89","0.58697327","0.84","4.16"
"1131219","3664","安瑞-KY","2345.00","0","0.00","4.67"
"1131219","3666","光耀","N/A","0","0.00","3.39"
"1131219","3672","康聯訊","N/A","0","0.00","2.34"
"1131219","3675","德微","30.28","5.00000000","2.19","4.52"
"1131219","3680","家登","40.73","7.50736239","1.50","4.96"
"1131219","3684","榮昌","26.32","0.80000000","1.79","2.11"
"1131219","3685","元創精密","N/A","0","0.00","1.58"
"1131219","3687","歐買尬","36.82","1.57424091","1.77","1.83"
"1131219","3689","湧德","20.91","2.44582910","2.42","2.17"
"1131219","3691","碩禾","N/A","0","0.00","1.06"
"1131219","3693","營邦","13.83","10.00000000","3.05","2.92"
"1131219","3707","漢磊","N/A","0","0.00","2.30"
"1131219","3709","鑫聯大投控","18.45","0.80000000","2.69","1.36"
"1131219","3710","連展投控","N/A","0","0.00","1.87"
"1131219","3713","新晶投控","N/A","0","0.00","2.73"
"1131219","4102","永日","14.75","0.80000000","2.66","1.91"
"1131219","4105","東洋","16.16","3.50000000","4.81","2.91"
"1131219","4107","邦特","16.67","4.50000000","3.75","2.53"
"1131219","4109","加捷生醫","5.50","0.50000000","2.29","1.59"
"1131219","4111","濟生","22.32","1.00000000","3.58","1.30"
