Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
00637L,元大滬深300正2,246,29,217,元大-台中,2023-01-03,9812
2465,麗臺,223,128,95,元大-台中,2023-01-03,9812
00641R,富邦日本反1,90,0,90,元大-台中,2023-01-03,9812
1519,華城,212,144,68,元大-台中,2023-01-03,9812
2317,鴻海,75,18,57,元大-台中,2023-01-03,9812
00680L,元大美債20正2,39,0,39,元大-台中,2023-01-03,9812
00632R,元大台灣50反1,86,52,34,元大-台中,2023-01-03,9812
1605,華新,38,10,28,元大-台中,2023-01-03,9812
00665L,富邦�琤肭磪囓�2,27,2,25,元大-台中,2023-01-03,9812
2537,聯上發,22,0,22,元大-台中,2023-01-03,9812
00885,富邦越南,22,0,22,元大-台中,2023-01-03,9812
5452,佶優,20,0,20,元大-台中,2023-01-03,9812
2023,燁輝,20,0,20,元大-台中,2023-01-03,9812
8429,金麗-KY,17,0,17,元大-台中,2023-01-03,9812
8940,新天地,14,0,14,元大-台中,2023-01-03,9812
1701,中化,19,5,14,元大-台中,2023-01-03,9812
6234,高僑,15,2,13,元大-台中,2023-01-03,9812
2498,宏達電,17,4,13,元大-台中,2023-01-03,9812
00670L,富邦NASDAQ正2,13,0,13,元大-台中,2023-01-03,9812
2634,漢翔,13,1,12,元大-台中,2023-01-03,9812
2239,英利-KY,10,0,10,元大-台中,2023-01-03,9812
1218,泰山,10,0,10,元大-台中,2023-01-03,9812
00733,富邦臺灣中小,10,0,10,元大-台中,2023-01-03,9812
2371,大同,10,0,10,元大-台中,2023-01-03,9812
2609,陽明,39,30,9,元大-台中,2023-01-03,9812
1303,南亞,9,0,9,元大-台中,2023-01-03,9812
00900,富邦特選高股息30,9,0,9,元大-台中,2023-01-03,9812
00878,國泰永續高股息,8,0,8,元大-台中,2023-01-03,9812
3163,波若威,8,0,8,元大-台中,2023-01-03,9812
5009,榮剛,23,15,8,元大-台中,2023-01-03,9812
2618,長榮航,9,1,8,元大-台中,2023-01-03,9812
2603,長榮,8,1,7,元大-台中,2023-01-03,9812
4126,太醫,6,0,6,元大-台中,2023-01-03,9812
4123,晟德,6,0,6,元大-台中,2023-01-03,9812
1101,台泥,10,5,5,元大-台中,2023-01-03,9812
2884,玉山金,6,1,5,元大-台中,2023-01-03,9812
6598,ABC-KY,5,0,5,元大-台中,2023-01-03,9812
6547,高端疫苗,5,0,5,元大-台中,2023-01-03,9812
4746,台耀,21,16,5,元大-台中,2023-01-03,9812
6441,廣錠,5,0,5,元大-台中,2023-01-03,9812
2615,萬海,21,16,5,元大-台中,2023-01-03,9812
3162,精確,5,0,5,元大-台中,2023-01-03,9812
00903,富邦元宇宙,5,0,5,元大-台中,2023-01-03,9812
6192,巨路,5,0,5,元大-台中,2023-01-03,9812
9904,寶成,5,0,5,元大-台中,2023-01-03,9812
8390,金益鼎,5,0,5,元大-台中,2023-01-03,9812
2610,華航,5,1,4,元大-台中,2023-01-03,9812
6550,北極星藥業-KY,4,0,4,元大-台中,2023-01-03,9812
0056,元大高股息,4,0,4,元大-台中,2023-01-03,9812
1810,和成,6,2,4,元大-台中,2023-01-03,9812
1529,樂事綠能,363,63,300,元大-台中,2023-01-04,9812
4402,郡都開發,132,0,132,元大-台中,2023-01-04,9812
1513,中興電,142,77,65,元大-台中,2023-01-04,9812
2615,萬海,70,11,59,元大-台中,2023-01-04,9812
2412,中華電,50,1,49,元大-台中,2023-01-04,9812
2317,鴻海,47,6,41,元大-台中,2023-01-04,9812
1795,美時,31,1,30,元大-台中,2023-01-04,9812
2201,裕隆,55,34,21,元大-台中,2023-01-04,9812
2609,陽明,42,22,20,元大-台中,2023-01-04,9812
3290,東浦,15,0,15,元大-台中,2023-01-04,9812
2637,慧洋-KY,28,13,15,元大-台中,2023-01-04,9812
6234,高僑,15,0,15,元大-台中,2023-01-04,9812
