Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
2609,陽明,347,13,334,玉山-台中,2023-01-03,0038003800340042
00632R,元大台灣50反1,264,82,182,玉山-台中,2023-01-03,0038003800340042
00637L,元大滬深300正2,321,180,141,玉山-台中,2023-01-03,0038003800340042
00673R,期元大S＆P原油反1,103,0,103,玉山-台中,2023-01-03,0038003800340042
2317,鴻海,89,30,59,玉山-台中,2023-01-03,0038003800340042
00878,國泰永續高股息,57,5,52,玉山-台中,2023-01-03,0038003800340042
1605,華新,109,63,46,玉山-台中,2023-01-03,0038003800340042
4951,精拓科,40,0,40,玉山-台中,2023-01-03,0038003800340042
2603,長榮,41,7,34,玉山-台中,2023-01-03,0038003800340042
1701,中化,51,17,34,玉山-台中,2023-01-03,0038003800340042
2633,台灣高鐵,31,1,30,玉山-台中,2023-01-03,0038003800340042
2890,永豐金,30,3,27,玉山-台中,2023-01-03,0038003800340042
1513,中興電,58,34,24,玉山-台中,2023-01-03,0038003800340042
2884,玉山金,30,8,22,玉山-台中,2023-01-03,0038003800340042
2534,宏盛,20,0,20,玉山-台中,2023-01-03,0038003800340042
2030,彰源,20,0,20,玉山-台中,2023-01-03,0038003800340042
00676R,富邦臺灣加權反1,20,0,20,玉山-台中,2023-01-03,0038003800340042
00885,富邦越南,23,4,19,玉山-台中,2023-01-03,0038003800340042
2610,華航,37,19,18,玉山-台中,2023-01-03,0038003800340042
6589,台康生技,18,1,17,玉山-台中,2023-01-03,0038003800340042
1752,南光,29,13,16,玉山-台中,2023-01-03,0038003800340042
3037,欣興,22,7,15,玉山-台中,2023-01-03,0038003800340042
00799B,國泰A級醫療債,15,0,15,玉山-台中,2023-01-03,0038003800340042
00877,復華中國5G,15,0,15,玉山-台中,2023-01-03,0038003800340042
4114,健喬,48,33,15,玉山-台中,2023-01-03,0038003800340042
2618,長榮航,40,25,15,玉山-台中,2023-01-03,0038003800340042
2885,元大金,16,1,15,玉山-台中,2023-01-03,0038003800340042
2382,廣達,13,0,13,玉山-台中,2023-01-03,0038003800340042
3051,力特,11,0,11,玉山-台中,2023-01-03,0038003800340042
2809,京城銀,11,1,10,玉山-台中,2023-01-03,0038003800340042
6284,佳邦,10,0,10,玉山-台中,2023-01-03,0038003800340042
3576,聯合再生,17,7,10,玉山-台中,2023-01-03,0038003800340042
1718,中纖,10,0,10,玉山-台中,2023-01-03,0038003800340042
2351,順德,10,0,10,玉山-台中,2023-01-03,0038003800340042
2634,漢翔,12,2,10,玉山-台中,2023-01-03,0038003800340042
1101,台泥,15,5,10,玉山-台中,2023-01-03,0038003800340042
1736,喬山,14,5,9,玉山-台中,2023-01-03,0038003800340042
