Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
2892,第一金,50,0,50,康和-嘉義,2023-01-03,8459
1720,生達,53,5,48,康和-嘉義,2023-01-03,8459
4114,健喬,56,16,40,康和-嘉義,2023-01-03,8459
2498,宏達電,87,56,31,康和-嘉義,2023-01-03,8459
5009,榮剛,50,20,30,康和-嘉義,2023-01-03,8459
1519,華城,37,8,29,康和-嘉義,2023-01-03,8459
1605,華新,154,127,27,康和-嘉義,2023-01-03,8459
2897,王道銀行,25,0,25,康和-嘉義,2023-01-03,8459
6153,嘉聯益,22,0,22,康和-嘉義,2023-01-03,8459
4746,台耀,21,1,20,康和-嘉義,2023-01-03,8459
4716,大立,20,2,18,康和-嘉義,2023-01-03,8459
6443,元晶,23,6,17,康和-嘉義,2023-01-03,8459
00631L,元大台灣50正2,15,0,15,康和-嘉義,2023-01-03,8459
6180,橘子,21,7,14,康和-嘉義,2023-01-03,8459
6689,伊雲谷,14,0,14,康和-嘉義,2023-01-03,8459
4743,合一,27,14,13,康和-嘉義,2023-01-03,8459
2880,華南金,12,0,12,康和-嘉義,2023-01-03,8459
2603,長榮,17,7,10,康和-嘉義,2023-01-03,8459
00896,中信綠能及電動車,10,0,10,康和-嘉義,2023-01-03,8459
1609,大亞,21,11,10,康和-嘉義,2023-01-03,8459
1795,美時,42,33,9,康和-嘉義,2023-01-03,8459
2371,大同,10,1,9,康和-嘉義,2023-01-03,8459
2748,雲品,8,0,8,康和-嘉義,2023-01-03,8459
6806,森崴能源,40,32,8,康和-嘉義,2023-01-03,8459
1789,神隆,7,0,7,康和-嘉義,2023-01-03,8459
2028,威致,7,0,7,康和-嘉義,2023-01-03,8459
6605,帝寶,8,1,7,康和-嘉義,2023-01-03,8459
1513,中興電,258,251,7,康和-嘉義,2023-01-03,8459
6118,建達,48,42,6,康和-嘉義,2023-01-03,8459
1514,亞力,7,1,6,康和-嘉義,2023-01-03,8459
1760,寶齡富錦,30,24,6,康和-嘉義,2023-01-03,8459
3693,營邦,6,0,6,康和-嘉義,2023-01-03,8459
2882,國泰金,11,5,6,康和-嘉義,2023-01-03,8459
9802,鈺齊-KY,5,0,5,康和-嘉義,2023-01-03,8459
