Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
2317,鴻海,2871,45,2826,臺銀,2023-01-03,1040
00632R,元大台灣50反1,1576,805,771,臺銀,2023-01-03,1040
00671R,富邦NASDAQ反1,750,91,659,臺銀,2023-01-03,1040
00692,富邦公司治理,362,12,350,臺銀,2023-01-03,1040
2881,富邦金,242,8,234,臺銀,2023-01-03,1040
1301,台塑,216,13,203,臺銀,2023-01-03,1040
5009,榮剛,173,0,173,臺銀,2023-01-03,1040
0050,元大台灣50,175,3,172,臺銀,2023-01-03,1040
1303,南亞,104,3,101,臺銀,2023-01-03,1040
1326,台化,101,1,100,臺銀,2023-01-03,1040
2382,廣達,100,0,100,臺銀,2023-01-03,1040
6505,台塑化,102,2,100,臺銀,2023-01-03,1040
2609,陽明,124,25,99,臺銀,2023-01-03,1040
1229,聯華,69,0,69,臺銀,2023-01-03,1040
006208,富邦台50,74,12,62,臺銀,2023-01-03,1040
1605,華新,108,47,61,臺銀,2023-01-03,1040
00888,永豐台灣ESG,51,0,51,臺銀,2023-01-03,1040
2610,華航,106,57,49,臺銀,2023-01-03,1040
2832,台產,40,0,40,臺銀,2023-01-03,1040
00676R,富邦臺灣加權反1,35,0,35,臺銀,2023-01-03,1040
2884,玉山金,34,1,33,臺銀,2023-01-03,1040
6414,樺漢,32,0,32,臺銀,2023-01-03,1040
5014,建錩,32,1,31,臺銀,2023-01-03,1040
2618,長榮航,58,29,29,臺銀,2023-01-03,1040
00751B,元大AAA至A公司債,27,0,27,臺銀,2023-01-03,1040
9904,寶成,26,0,26,臺銀,2023-01-03,1040
00885,富邦越南,35,10,25,臺銀,2023-01-03,1040
1342,八貫,39,14,25,臺銀,2023-01-03,1040
2845,遠東銀,24,0,24,臺銀,2023-01-03,1040
1762,中化生,23,0,23,臺銀,2023-01-03,1040
2892,第一金,32,11,21,臺銀,2023-01-03,1040
9925,新保,21,0,21,臺銀,2023-01-03,1040
1612,宏泰,21,0,21,臺銀,2023-01-03,1040
8171,天宇,21,1,20,臺銀,2023-01-03,1040
2897,王道銀行,20,0,20,臺銀,2023-01-03,1040
2603,長榮,45,26,19,臺銀,2023-01-03,1040
1701,中化,21,4,17,臺銀,2023-01-03,1040
4114,健喬,23,7,16,臺銀,2023-01-03,1040
00679B,元大美債20年,33,18,15,臺銀,2023-01-03,1040
2501,國建,14,0,14,臺銀,2023-01-03,1040
2352,佳世達,13,0,13,臺銀,2023-01-03,1040
3027,盛達,14,1,13,臺銀,2023-01-03,1040
00773B,中信優先金融債,13,0,13,臺銀,2023-01-03,1040
00712,復華富時不動產,12,0,12,臺銀,2023-01-03,1040
1314,中石化,11,0,11,臺銀,2023-01-03,1040
4155,訊映,16,5,11,臺銀,2023-01-03,1040
00720B,元大投資級公司債,10,0,10,臺銀,2023-01-03,1040
1449,佳和,10,0,10,臺銀,2023-01-03,1040
1789,神隆,10,0,10,臺銀,2023-01-03,1040
2472,立隆電,10,0,10,臺銀,2023-01-03,1040
00680L,元大美債20正2,219,0,219,臺銀,2023-01-04,1040
1301,台塑,200,0,200,臺銀,2023-01-04,1040
2408,南亞科,184,2,182,臺銀,2023-01-04,1040
1229,聯華,145,0,145,臺銀,2023-01-04,1040
006208,富邦台50,108,1,107,臺銀,2023-01-04,1040
6505,台塑化,100,0,100,臺銀,2023-01-04,1040
1303,南亞,100,0,100,臺銀,2023-01-04,1040
1326,台化,100,0,100,臺銀,2023-01-04,1040
2382,廣達,103,5,98,臺銀,2023-01-04,1040
2006,東和鋼鐵,75,0,75,臺銀,2023-01-04,1040
0056,元大高股息,68,12,56,臺銀,2023-01-04,1040
1907,永豐餘,57,6,51,臺銀,2023-01-04,1040
00893,國泰智能電動車,39,0,39,臺銀,2023-01-04,1040
0050,元大台灣50,39,1,38,臺銀,2023-01-04,1040
8069,元太,61,24,37,臺銀,2023-01-04,1040
00878,國泰永續高股息,53,16,37,臺銀,2023-01-04,1040
2423,固緯,35,0,35,臺銀,2023-01-04,1040
9910,豐泰,35,1,34,臺銀,2023-01-04,1040
00715L,期街口布蘭特正2,34,0,34,臺銀,2023-01-04,1040
2637,慧洋-KY,39,6,33,臺銀,2023-01-04,1040
3036,文曄,33,0,33,臺銀,2023-01-04,1040
2884,玉山金,33,0,33,臺銀,2023-01-04,1040
2832,台產,31,1,30,臺銀,2023-01-04,1040
9925,新保,30,0,30,臺銀,2023-01-04,1040
6235,華孚,95,65,30,臺銀,2023-01-04,1040
6104,創惟,46,22,24,臺銀,2023-01-04,1040
2405,輔信,22,0,22,臺銀,2023-01-04,1040
00753L,中信中國50正2,25,4,21,臺銀,2023-01-04,1040
3037,欣興,32,11,21,臺銀,2023-01-04,1040
00713,元大台灣高息低波,21,1,20,臺銀,2023-01-04,1040
4168,醣聯,20,0,20,臺銀,2023-01-04,1040
4958,臻鼎-KY,20,0,20,臺銀,2023-01-04,1040
3529,力旺,20,0,20,臺銀,2023-01-04,1040
3520,華盈,19,1,18,臺銀,2023-01-04,1040
3189,景碩,35,18,17,臺銀,2023-01-04,1040
2014,中鴻,17,2,15,臺銀,2023-01-04,1040
00902,中信電池及儲能,26,12,14,臺銀,2023-01-04,1040
3479,安勤,17,3,14,臺銀,2023-01-04,1040
00637L,元大滬深300正2,57,43,14,臺銀,2023-01-04,1040
9802,鈺齊-KY,13,0,13,臺銀,2023-01-04,1040
00881,國泰台灣5G+,15,2,13,臺銀,2023-01-04,1040
2882,國泰金,21,9,12,臺銀,2023-01-04,1040
6282,康舒,15,3,12,臺銀,2023-01-04,1040
1513,中興電,55,43,12,臺銀,2023-01-04,1040
8046,南電,30,18,12,臺銀,2023-01-04,1040
00876,元大全球5G,14,3,11,臺銀,2023-01-04,1040
3437,榮創,11,0,11,臺銀,2023-01-04,1040
2535,達欣工,11,0,11,臺銀,2023-01-04,1040
2498,宏達電,55,44,11,臺銀,2023-01-04,1040
9105,泰金寶-DR,10,0,10,臺銀,2023-01-04,1040
00878,國泰永續高股息,1515,37,1478,臺銀,2023-01-05,1040
00632R,元大台灣50反1,1403,720,683,臺銀,2023-01-05,1040
2313,華通,312,1,311,臺銀,2023-01-05,1040
00641R,富邦日本反1,215,0,215,臺銀,2023-01-05,1040
00715L,期街口布蘭特正2,201,2,199,臺銀,2023-01-05,1040
00680L,元大美債20正2,160,0,160,臺銀,2023-01-05,1040
5009,榮剛,133,1,132,臺銀,2023-01-05,1040
1229,聯華,132,0,132,臺銀,2023-01-05,1040
2308,台達電,112,1,111,臺銀,2023-01-05,1040
2449,京元電子,110,2,108,臺銀,2023-01-05,1040
1303,南亞,100,0,100,臺銀,2023-01-05,1040
00900,富邦特選高股息30,101,3,98,臺銀,2023-01-05,1040
2610,華航,117,25,92,臺銀,2023-01-05,1040
2382,廣達,56,1,55,臺銀,2023-01-05,1040
4906,正文,52,0,52,臺銀,2023-01-05,1040
8171,天宇,58,8,50,臺銀,2023-01-05,1040
2367,燿華,51,2,49,臺銀,2023-01-05,1040
00642U,期元大S＆P石油,44,0,44,臺銀,2023-01-05,1040
1444,力麗,34,1,33,臺銀,2023-01-05,1040
4904,遠傳,33,1,32,臺銀,2023-01-05,1040
9962,有益,31,0,31,臺銀,2023-01-05,1040
3034,聯詠,48,17,31,臺銀,2023-01-05,1040
2498,宏達電,69,42,27,臺銀,2023-01-05,1040
8046,南電,38,12,26,臺銀,2023-01-05,1040
2402,毅嘉,25,0,25,臺銀,2023-01-05,1040
2891,中信金,30,6,24,臺銀,2023-01-05,1040
6245,立端,35,12,23,臺銀,2023-01-05,1040
00665L,富邦�琤肭磪囓�2,22,0,22,臺銀,2023-01-05,1040
4958,臻鼎-KY,22,1,21,臺銀,2023-01-05,1040
1231,聯華食,20,0,20,臺銀,2023-01-05,1040
1218,泰山,23,3,20,臺銀,2023-01-05,1040
1734,杏輝,21,1,20,臺銀,2023-01-05,1040
00720B,元大投資級公司債,20,0,20,臺銀,2023-01-05,1040
6133,金橋,20,0,20,臺銀,2023-01-05,1040
2368,金像電,25,6,19,臺銀,2023-01-05,1040
2889,國票金,33,14,19,臺銀,2023-01-05,1040
1810,和成,22,3,19,臺銀,2023-01-05,1040
8044,網家,28,9,19,臺銀,2023-01-05,1040
2641,正德,17,0,17,臺銀,2023-01-05,1040
6244,茂迪,17,2,15,臺銀,2023-01-05,1040
5905,南仁湖,15,0,15,臺銀,2023-01-05,1040
4162,智擎,18,4,14,臺銀,2023-01-05,1040
4736,泰博,13,0,13,臺銀,2023-01-05,1040
3046,建��,20,7,13,臺銀,2023-01-05,1040
2614,東森,38,26,12,臺銀,2023-01-05,1040
2419,仲琦,26,14,12,臺銀,2023-01-05,1040
2832,台產,12,0,12,臺銀,2023-01-05,1040
3017,奇鋐,11,0,11,臺銀,2023-01-05,1040
00631L,元大台灣50正2,14,3,11,臺銀,2023-01-05,1040
2405,輔信,11,0,11,臺銀,2023-01-05,1040
0056,元大高股息,408,37,371,臺銀,2023-01-06,1040
2002,中鋼,369,3,366,臺銀,2023-01-06,1040
2412,中華電,300,1,299,臺銀,2023-01-06,1040
2313,華通,268,19,249,臺銀,2023-01-06,1040
00720B,元大投資級公司債,225,2,223,臺銀,2023-01-06,1040
3037,欣興,242,34,208,臺銀,2023-01-06,1040
3044,健鼎,132,0,132,臺銀,2023-01-06,1040
2204,中華,125,6,119,臺銀,2023-01-06,1040
1229,聯華,126,10,116,臺銀,2023-01-06,1040
2308,台達電,116,2,114,臺銀,2023-01-06,1040
3035,智原,75,1,74,臺銀,2023-01-06,1040
8464,億豐,69,0,69,臺銀,2023-01-06,1040
00900,富邦特選高股息30,63,4,59,臺銀,2023-01-06,1040
8171,天宇,64,13,51,臺銀,2023-01-06,1040
2382,廣達,51,1,50,臺銀,2023-01-06,1040
2376,技嘉,51,5,46,臺銀,2023-01-06,1040
4924,欣厚-KY,45,0,45,臺銀,2023-01-06,1040
2889,國票金,43,3,40,臺銀,2023-01-06,1040
2332,友訊,34,0,34,臺銀,2023-01-06,1040
02002L,兆豐富櫃200正二N,33,0,33,臺銀,2023-01-06,1040
00885,富邦越南,70,40,30,臺銀,2023-01-06,1040
00654R,富邦印度反1,30,0,30,臺銀,2023-01-06,1040
00893,國泰智能電動車,31,2,29,臺銀,2023-01-06,1040
00752,中信中國50,30,2,28,臺銀,2023-01-06,1040
00715L,期街口布蘭特正2,50,22,28,臺銀,2023-01-06,1040
00878,國泰永續高股息,113,86,27,臺銀,2023-01-06,1040
1605,華新,103,77,26,臺銀,2023-01-06,1040
4114,健喬,55,30,25,臺銀,2023-01-06,1040
1519,華城,48,24,24,臺銀,2023-01-06,1040
3704,合勤控,67,44,23,臺銀,2023-01-06,1040
2851,中再保,22,1,21,臺銀,2023-01-06,1040
4121,優盛,20,0,20,臺銀,2023-01-06,1040
2832,台產,19,0,19,臺銀,2023-01-06,1040
2375,凱美,20,2,18,臺銀,2023-01-06,1040
00642U,期元大S＆P石油,17,0,17,臺銀,2023-01-06,1040
2408,南亞科,20,3,17,臺銀,2023-01-06,1040
2330,台積電,20,3,17,臺銀,2023-01-06,1040
1524,耿鼎,16,0,16,臺銀,2023-01-06,1040
5905,南仁湖,21,5,16,臺銀,2023-01-06,1040
3231,緯創,14,0,14,臺銀,2023-01-06,1040
2498,宏達電,39,27,12,臺銀,2023-01-06,1040
2637,慧洋-KY,14,3,11,臺銀,2023-01-06,1040
2423,固緯,11,0,11,臺銀,2023-01-06,1040
2329,華泰,17,6,11,臺銀,2023-01-06,1040
4906,正文,10,0,10,臺銀,2023-01-06,1040
4107,邦特,10,0,10,臺銀,2023-01-06,1040
2906,高林,10,0,10,臺銀,2023-01-06,1040
00892,富邦台灣半導體,10,0,10,臺銀,2023-01-06,1040
1342,八貫,21,11,10,臺銀,2023-01-06,1040
2754,亞洲藏壽司,10,0,10,臺銀,2023-01-06,1040
0056,元大高股息,1000,88,912,臺銀,2023-01-09,1040
00891,中信關鍵半導體,738,101,637,臺銀,2023-01-09,1040
00878,國泰永續高股息,560,292,268,臺銀,2023-01-09,1040
2313,華通,247,32,215,臺銀,2023-01-09,1040
2845,遠東銀,204,6,198,臺銀,2023-01-09,1040
2201,裕隆,213,20,193,臺銀,2023-01-09,1040
2354,鴻準,131,6,125,臺銀,2023-01-09,1040
2886,兆豐金,143,27,116,臺銀,2023-01-09,1040
00669R,國泰美國道瓊反1,105,0,105,臺銀,2023-01-09,1040
9105,泰金寶-DR,100,0,100,臺銀,2023-01-09,1040
5009,榮剛,125,29,96,臺銀,2023-01-09,1040
2308,台達電,101,8,93,臺銀,2023-01-09,1040
0050,元大台灣50,100,35,65,臺銀,2023-01-09,1040
00885,富邦越南,76,13,63,臺銀,2023-01-09,1040
2610,華航,135,73,62,臺銀,2023-01-09,1040
2891,中信金,160,98,62,臺銀,2023-01-09,1040
00670L,富邦NASDAQ正2,67,9,58,臺銀,2023-01-09,1040
2851,中再保,59,2,57,臺銀,2023-01-09,1040
6488,環球晶,56,3,53,臺銀,2023-01-09,1040
8069,元太,78,29,49,臺銀,2023-01-09,1040
3105,穩懋,53,11,42,臺銀,2023-01-09,1040
2408,南亞科,55,20,35,臺銀,2023-01-09,1040
