Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
00893,國泰智能電動車,186,0,186,富邦-二林,2023-01-03,0039003600320042
4130,健亞,84,29,55,富邦-二林,2023-01-03,0039003600320042
3362,先進光,41,1,40,富邦-二林,2023-01-03,0039003600320042
3035,智原,37,2,35,富邦-二林,2023-01-03,0039003600320042
3141,晶宏,36,1,35,富邦-二林,2023-01-03,0039003600320042
00878,國泰永續高股息,40,11,29,富邦-二林,2023-01-03,0039003600320042
1605,華新,125,104,21,富邦-二林,2023-01-03,0039003600320042
2344,華邦電,28,8,20,富邦-二林,2023-01-03,0039003600320042
00637L,元大滬深300正2,28,9,19,富邦-二林,2023-01-03,0039003600320042
2641,正德,16,0,16,富邦-二林,2023-01-03,0039003600320042
3078,僑威,16,0,16,富邦-二林,2023-01-03,0039003600320042
2317,鴻海,18,3,15,富邦-二林,2023-01-03,0039003600320042
2615,萬海,26,11,15,富邦-二林,2023-01-03,0039003600320042
4167,松瑞藥,15,0,15,富邦-二林,2023-01-03,0039003600320042
6104,創惟,13,1,12,富邦-二林,2023-01-03,0039003600320042
2477,美隆電,11,0,11,富邦-二林,2023-01-03,0039003600320042
1447,力鵬,10,0,10,富邦-二林,2023-01-03,0039003600320042
1444,力麗,10,0,10,富邦-二林,2023-01-03,0039003600320042
2412,中華電,10,0,10,富邦-二林,2023-01-03,0039003600320042
2929,淘帝-KY,10,0,10,富邦-二林,2023-01-03,0039003600320042
3265,台星科,10,0,10,富邦-二林,2023-01-03,0039003600320042
1608,華榮,10,1,9,富邦-二林,2023-01-03,0039003600320042
2308,台達電,9,0,9,富邦-二林,2023-01-03,0039003600320042
2515,中工,9,1,8,富邦-二林,2023-01-03,0039003600320042
8403,盛弘,8,0,8,富邦-二林,2023-01-03,0039003600320042
0056,元大高股息,8,1,7,富邦-二林,2023-01-03,0039003600320042
2609,陽明,23,16,7,富邦-二林,2023-01-03,0039003600320042
2022,聚亨,6,0,6,富邦-二林,2023-01-03,0039003600320042
2537,聯上發,6,0,6,富邦-二林,2023-01-03,0039003600320042
6191,精成科,6,0,6,富邦-二林,2023-01-03,0039003600320042
6220,岳豐,6,0,6,富邦-二林,2023-01-03,0039003600320042
6603,富強鑫,6,0,6,富邦-二林,2023-01-03,0039003600320042
1514,亞力,7,2,5,富邦-二林,2023-01-03,0039003600320042
00673R,期元大S＆P原油反1,5,0,5,富邦-二林,2023-01-03,0039003600320042
2007,燁興,5,0,5,富邦-二林,2023-01-03,0039003600320042
2421,建準,5,0,5,富邦-二林,2023-01-03,0039003600320042
3006,晶豪科,5,0,5,富邦-二林,2023-01-03,0039003600320042
6167,久正,5,0,5,富邦-二林,2023-01-03,0039003600320042
9904,寶成,5,0,5,富邦-二林,2023-01-03,0039003600320042
5880,合庫金,5,0,5,富邦-二林,2023-01-03,0039003600320042
00772B,中信高評級公司債,5,1,4,富邦-二林,2023-01-03,0039003600320042
2002,中鋼,5,1,4,富邦-二林,2023-01-03,0039003600320042
2444,兆勁,4,0,4,富邦-二林,2023-01-03,0039003600320042
4931,新盛力,4,0,4,富邦-二林,2023-01-03,0039003600320042
5258,虹堡,4,0,4,富邦-二林,2023-01-03,0039003600320042
4306,炎洲,3,0,3,富邦-二林,2023-01-03,0039003600320042
1536,和大,3,0,3,富邦-二林,2023-01-03,0039003600320042
2231,為升,3,0,3,富邦-二林,2023-01-03,0039003600320042
2392,正崴,6,3,3,富邦-二林,2023-01-03,0039003600320042
2424,隴華,3,0,3,富邦-二林,2023-01-03,0039003600320042
00673R,期元大S＆P原油反1,100,0,100,富邦-二林,2023-01-04,0039003600320042
2201,裕隆,89,4,85,富邦-二林,2023-01-04,0039003600320042
2929,淘帝-KY,55,2,53,富邦-二林,2023-01-04,0039003600320042
