Ticker,Name,buy,sell,diff,Branch,Date,Branch_Code
2603,長榮,101,0,101,宏遠-民生,2023-01-03,1261
1714,和桐,25,0,25,宏遠-民生,2023-01-03,1261
2882,國泰金,14,0,14,宏遠-民生,2023-01-03,1261
1808,潤隆,13,0,13,宏遠-民生,2023-01-03,1261
2886,兆豐金,13,0,13,宏遠-民生,2023-01-03,1261
6176,瑞儀,10,0,10,宏遠-民生,2023-01-03,1261
3661,世芯-KY,11,3,8,宏遠-民生,2023-01-03,1261
00637L,元大滬深300正2,7,0,7,宏遠-民生,2023-01-03,1261
4167,松瑞藥,10,4,6,宏遠-民生,2023-01-03,1261
3715,定穎投控,5,0,5,宏遠-民生,2023-01-03,1261
4114,健喬,5,0,5,宏遠-民生,2023-01-03,1261
6415,矽力*-KY,5,0,5,宏遠-民生,2023-01-03,1261
2409,友達,4,0,4,宏遠-民生,2023-01-03,1261
8150,南茂,5,1,4,宏遠-民生,2023-01-03,1261
1605,華新,3,0,3,宏遠-民生,2023-01-03,1261
00679B,元大美債20年,3,0,3,宏遠-民生,2023-01-03,1261
2609,陽明,3,0,3,宏遠-民生,2023-01-03,1261
6589,台康生技,3,0,3,宏遠-民生,2023-01-03,1261
1440,南紡,2,0,2,宏遠-民生,2023-01-03,1261
1609,大亞,2,0,2,宏遠-民生,2023-01-03,1261
2530,華建,2,0,2,宏遠-民生,2023-01-03,1261
2748,雲品,2,0,2,宏遠-民生,2023-01-03,1261
2883,凱基金,2,0,2,宏遠-民生,2023-01-03,1261
2885,元大金,2,0,2,宏遠-民生,2023-01-03,1261
4174,浩鼎,2,0,2,宏遠-民生,2023-01-03,1261
5880,合庫金,2,0,2,宏遠-民生,2023-01-03,1261
8938,明安,2,0,2,宏遠-民生,2023-01-03,1261
9904,寶成,2,0,2,宏遠-民生,2023-01-03,1261
2352,佳世達,1,0,1,宏遠-民生,2023-01-03,1261
2331,精英,1,0,1,宏遠-民生,2023-01-03,1261
2303,聯電,6,5,1,宏遠-民生,2023-01-03,1261
2388,威盛,6,5,1,宏遠-民生,2023-01-03,1261
2027,大成鋼,1,0,1,宏遠-民生,2023-01-03,1261
1701,中化,3,2,1,宏遠-民生,2023-01-03,1261
1342,八貫,1,0,1,宏遠-民生,2023-01-03,1261
1340,勝悅-KY,1,0,1,宏遠-民生,2023-01-03,1261
00857B,永豐20年美公債,1,0,1,宏遠-民生,2023-01-03,1261
00720B,元大投資級公司債,1,0,1,宏遠-民生,2023-01-03,1261
2610,華航,1,0,1,宏遠-民生,2023-01-03,1261
2612,中航,1,0,1,宏遠-民生,2023-01-03,1261
2614,東森,1,0,1,宏遠-民生,2023-01-03,1261
2731,雄獅,1,0,1,宏遠-民生,2023-01-03,1261
3005,神基,1,0,1,宏遠-民生,2023-01-03,1261
3162,精確,1,0,1,宏遠-民生,2023-01-03,1261
3265,台星科,1,0,1,宏遠-民生,2023-01-03,1261
4102,永日,1,0,1,宏遠-民生,2023-01-03,1261
4121,優盛,1,0,1,宏遠-民生,2023-01-03,1261
4161,聿新科,1,0,1,宏遠-民生,2023-01-03,1261
4755,三福化,1,0,1,宏遠-民生,2023-01-03,1261
5351,鈺創,1,0,1,宏遠-民生,2023-01-03,1261
1417,嘉裕,120,60,60,宏遠-民生,2023-01-04,1261
8069,元太,34,0,34,宏遠-民生,2023-01-04,1261
4979,華星光,20,0,20,宏遠-民生,2023-01-04,1261
00885,富邦越南,30,15,15,宏遠-民生,2023-01-04,1261
2603,長榮,12,1,11,宏遠-民生,2023-01-04,1261
3653,健策,11,0,11,宏遠-民生,2023-01-04,1261
00683L,期元大美元指正2,10,0,10,宏遠-民生,2023-01-04,1261
4105,東洋,10,0,10,宏遠-民生,2023-01-04,1261
3056,富華新,9,0,9,宏遠-民生,2023-01-04,1261
2610,華航,10,2,8,宏遠-民生,2023-01-04,1261
6806,森崴能源,20,12,8,宏遠-民生,2023-01-04,1261
2609,陽明,10,3,7,宏遠-民生,2023-01-04,1261
3617,碩天,7,0,7,宏遠-民生,2023-01-04,1261
6244,茂迪,8,2,6,宏遠-民生,2023-01-04,1261
9958,世紀鋼,6,0,6,宏遠-民生,2023-01-04,1261
2007,燁興,5,0,5,宏遠-民生,2023-01-04,1261
3693,營邦,5,0,5,宏遠-民生,2023-01-04,1261
4142,國光生,5,0,5,宏遠-民生,2023-01-04,1261
6245,立端,5,0,5,宏遠-民生,2023-01-04,1261
9962,有益,5,0,5,宏遠-民生,2023-01-04,1261
2352,佳世達,4,0,4,宏遠-民生,2023-01-04,1261
1808,潤隆,4,0,4,宏遠-民生,2023-01-04,1261
00893,國泰智能電動車,4,0,4,宏遠-民生,2023-01-04,1261
2615,萬海,5,2,3,宏遠-民生,2023-01-04,1261
3372,典範,3,0,3,宏遠-民生,2023-01-04,1261
5328,華容,3,0,3,宏遠-民生,2023-01-04,1261
5351,鈺創,3,0,3,宏遠-民生,2023-01-04,1261
6451,訊芯-KY,3,0,3,宏遠-民生,2023-01-04,1261
00712,復華富時不動產,2,0,2,宏遠-民生,2023-01-04,1261
3141,晶宏,3,1,2,宏遠-民生,2023-01-04,1261
3236,千如,2,0,2,宏遠-民生,2023-01-04,1261
3481,群創,2,0,2,宏遠-民生,2023-01-04,1261
3576,聯合再生,2,0,2,宏遠-民生,2023-01-04,1261
3712,永崴投控,5,3,2,宏遠-民生,2023-01-04,1261
5880,合庫金,2,0,2,宏遠-民生,2023-01-04,1261
6139,亞翔,2,0,2,宏遠-民生,2023-01-04,1261
6150,撼訊,2,0,2,宏遠-民生,2023-01-04,1261
6173,信昌電,2,0,2,宏遠-民生,2023-01-04,1261
6288,聯嘉,2,0,2,宏遠-民生,2023-01-04,1261
8033,雷虎,2,0,2,宏遠-民生,2023-01-04,1261
1527,鑽全,1,0,1,宏遠-民生,2023-01-04,1261
1783,和康生,1,0,1,宏遠-民生,2023-01-04,1261
1760,寶齡富錦,1,0,1,宏遠-民生,2023-01-04,1261
00770,國泰北美科技,1,0,1,宏遠-民生,2023-01-04,1261
00902,中信電池及儲能,1,0,1,宏遠-民生,2023-01-04,1261
2002,中鋼,1,0,1,宏遠-民生,2023-01-04,1261
2328,廣宇,1,0,1,宏遠-民生,2023-01-04,1261
2359,所羅門,1,0,1,宏遠-民生,2023-01-04,1261
2368,金像電,1,0,1,宏遠-民生,2023-01-04,1261
2379,瑞昱,1,0,1,宏遠-民生,2023-01-04,1261
1808,潤隆,31,2,29,宏遠-民生,2023-01-05,1261
8996,高力,26,1,25,宏遠-民生,2023-01-05,1261
8069,元太,19,1,18,宏遠-民生,2023-01-05,1261
6274,台燿,14,0,14,宏遠-民生,2023-01-05,1261
4931,新盛力,13,0,13,宏遠-民生,2023-01-05,1261
00632R,元大台灣50反1,10,0,10,宏遠-民生,2023-01-05,1261
2376,技嘉,10,0,10,宏遠-民生,2023-01-05,1261
